timestamp,categorie,code_postal,premiere_visite,comment_avez_vous_entendu_parler_de_nous
2020/10/31 8:59:01 AM EST,Parents avec jeunes enfants,G1y3j3,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:01 AM EST,Parents,G6c1a6,Non,Kiosques Fleur de Lys
2020/10/31 8:59:01 AM EST,Parents avec jeunes enfants,G6w3a5,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:02 AM EST,Grands-parents,G1v1e7,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:02 AM EST,Parents avec jeunes enfants,G1p3z4,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:02 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1c7j5,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:02 AM EST,Parents avec jeunes enfants,G7a2x9,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:02 AM EST,Grands-parents,G0r3e0,Non,En passant
2020/10/31 8:59:03 AM EST,Parents,G1w4x8,Non,TV
2020/10/31 8:59:04 AM EST,Parents avec jeunes enfants,G1t1a5,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:05 AM EST,Grands-parents,G2l2y8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:05 AM EST,Grands-parents,G3a1b9,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:05 AM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G3k0r2,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:06 AM EST,Parents avec jeunes enfants,G6x2l4,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:06 AM EST,Parents avec jeunes enfants,G3s1h9,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:06 AM EST,Grands-parents,G3b0c1,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:06 AM EST,Tante,G1v1t4,Oui,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:07 AM EST,Parents avec jeunes enfants,G1l1e6,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:07 AM EST,Grands-parents,G1r2j1,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:08 AM EST,Grands-parents,G0s2a0,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:08 AM EST,Parents avec jeunes enfants,G3h0c1,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:09 AM EST,Parents avec jeunes enfants,G1t0a7,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:09 AM EST,Parents avec jeunes enfants,G3k1b3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:09 AM EST,Grands-parents,G2b4z8,Non,Google 
2020/10/31 8:59:09 AM EST,Grands-parents,G2k0j7,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:11 AM EST,Parents avec jeunes enfants,G2e1x8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:11 AM EST,Parents avec jeunes enfants,G0a3b0,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:11 AM EST,Parents avec jeunes enfants,G2B0p2,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:12 AM EST,Parents avec jeunes enfants,G6j1b8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:13 AM EST,Parents avec jeunes enfants,G2e2z5,Non,Radio
2020/10/31 8:59:13 AM EST,Grands-parents,G2b4g3,Non,"Famille, amis, collègues (etc.)"
2020/10/31 8:59:14 AM EST,Parents avec jeunes enfants,G1x1b4,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 8:59:14 AM EST,Parents avec jeunes enfants,G1x2n1,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/31 8:59:15 AM EST,Parents,G1s3n3,Non,"Famille, amis, collègues (etc.)"
2020/10/31 9:20:17 AM EST,Parents,G1p 2s7,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/31 9:54:31 AM EST,Parents,G3b 0z8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 10:02:03 AM EST,Parents avec jeunes enfants,G1g 4x6,Non,"Famille, amis, collègues (etc.)"
2020/10/31 10:27:33 AM EST,Grands-parents,G1m 1n7,Non,Par l’enseigne du magasin
2020/10/31 10:34:55 AM EST,Parents avec jeunes enfants,G1F a26,Oui,"Famille, amis, collègues (etc.)"
2020/10/31 10:37:13 AM EST,Parents avec jeunes enfants,G1R 2N4,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 10:40:17 AM EST,Parents,G1s 1b6,Non,"Famille, amis, collègues (etc.)"
2020/10/31 11:07:56 AM EST,Grands-parents,G1y 3t4,Non,"Famille, amis, collègues (etc.)"
2020/10/31 11:14:34 AM EST,Parents avec jeunes enfants,G0A1H0,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 11:15:29 AM EST,Parents avec jeunes enfants,G7a 3c4,Non,"Famille, amis, collègues (etc.)"
2020/10/31 11:17:20 AM EST,Parents,G1l 2m5,Oui,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 11:24:38 AM EST,Parents avec jeunes enfants,G1h 3a8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 11:35:10 AM EST,Parents,G3k 2v7,Non,"Famille, amis, collègues (etc.)"
2020/10/31 12:40:19 PM EST,Parents,G1y 2s3,Non,Journal
2020/10/31 1:03:37 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G3k 2c7,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/10/31 1:15:59 PM EST,Grands-parents,G1r 1n4,Oui,"Famille, amis, collègues (etc.)"
2020/10/31 1:18:10 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1w 2a5,Non,"Famille, amis, collègues (etc.)"
2020/10/31 1:32:26 PM EST,Parents,G0s 2w0,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/10/31 1:42:24 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1y 2k8,Non,"Famille, amis, collègues (etc.)"
2020/10/31 2:19:37 PM EST,Parents avec jeunes enfants,G1k 2n9,Oui,Recherche google
2020/10/31 2:45:57 PM EST,Parents,G1x 4j4,Non,Recherche Google 
2020/10/31 2:55:36 PM EST,Parents avec jeunes enfants,G1h 2n1,Oui,"Famille, amis, collègues (etc.)"
2020/11/03 11:32:05 AM EST,Grands-parents,G0a1l0,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/03 11:45:11 AM EST,Parents avec jeunes enfants,G2a4a2,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/03 11:49:10 AM EST,Parents avec jeunes enfants,G2c1k4,Non,Radio
2020/11/03 11:52:58 AM EST,Parents avec jeunes enfants,G0a4v0,Non,"Famille, amis, collègues (etc.)"
2020/11/03 12:04:16 PM EST,Parents avec jeunes enfants,G2g0c2,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/03 12:15:01 PM EST,Parents avec jeunes enfants,G1y2b2,Non,"Famille, amis, collègues (etc.)"
2020/11/03 12:21:00 PM EST,Parents avec jeunes enfants,G1s3y1,Non,Google 
2020/11/03 12:41:26 PM EST,Grands-parents,G1c7e6,Non,"Famille, amis, collègues (etc.)"
2020/11/03 12:47:58 PM EST,Parents avec jeunes enfants,G7a3w9,Non,Bénévolat avec son travail 
2020/11/03 1:53:17 PM EST,Parents avec jeunes enfants,G3h0h4,Non,Radio
2020/11/03 2:00:43 PM EST,Parents avec jeunes enfants,G0s1z0,Non,"Famille, amis, collègues (etc.)"
2020/11/03 2:02:38 PM EST,Grands-parents,G2b3n4,Non,"Famille, amis, collègues (etc.)"
2020/11/03 2:05:37 PM EST,Parents avec jeunes enfants,G1y2b8,Non,"Famille, amis, collègues (etc.)"
2020/11/03 3:47:40 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1j4v8,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/03 4:04:23 PM EST,Parents avec jeunes enfants,G3a2w1,Non,Journaux 
2020/11/04 10:31:07 AM EST,Parents avec jeunes enfants,G3a2w1,Non,Journaux 
2020/11/04 10:31:27 AM EST,Grands-parents,G1b2a1,Non,"Famille, amis, collègues (etc.)"
2020/11/04 11:59:22 AM EST,Parents avec jeunes enfants,G2l3c3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/04 12:23:37 PM EST,Parents avec jeunes enfants,G3h1s4,Non,Lucie
2020/11/04 1:58:48 PM EST,Grands-parents,G1y3s1,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/04 2:25:11 PM EST,Collectionneur ,G2l2r7,Non,"Famille, amis, collègues (etc.)"
2020/11/04 2:30:17 PM EST,Parents avec jeunes enfants,G1k3g8,Oui,Radio
2020/11/04 2:30:38 PM EST,"Corporatif (enseignants, service-de-garde, garderies, etc.)",G1m3k7,Non,"Famille, amis, collègues (etc.)"
2020/11/04 2:39:07 PM EST,Parents avec jeunes enfants,G3s0w8,Oui,"Famille, amis, collègues (etc.)"
2020/11/04 2:43:28 PM EST,Tante,G2c1z6,Non,Radio
2020/11/04 2:52:31 PM EST,Parents avec jeunes enfants,G1e4h5,Oui,
2020/11/04 3:40:04 PM EST,Grands-parents,G2k1v4,Non,Collecte de jouets avec son travail 
2020/11/04 4:06:47 PM EST,Parents avec jeunes enfants,G2b2l3,Non,"Famille, amis, collègues (etc.)"
2020/11/05 10:41:35 AM EST,Grands-parents,G2k1v4,Non,Collecte de jouets avec son travail 
2020/11/05 10:42:21 AM EST,Grands-parents,G7a1l2,Non,Radio
2020/11/05 10:47:11 AM EST,Parents avec jeunes enfants,G2b2l3,Non,"Famille, amis, collègues (etc.)"
2020/11/05 10:48:02 AM EST,Grands-parents,G6z8g2,Non,Bénévole intact
2020/11/05 10:53:23 AM EST,Parents avec jeunes enfants,G1h5g6,Non,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/05 11:03:31 AM EST,Parents avec jeunes enfants,G1g6c6,Non,"Famille, amis, collègues (etc.)"
2020/11/05 11:15:41 AM EST,Parents avec jeunes enfants,G1j4r5,Non,"Famille, amis, collègues (etc.)"
2020/11/05 11:26:00 AM EST,Parents avec jeunes enfants,G2l2s1,Non,"Famille, amis, collègues (etc.)"
2020/11/05 12:03:25 PM EST,Parents avec jeunes enfants,G0a3z0,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/05 12:10:36 PM EST,Parents avec jeunes enfants,G0s2c0,Non,"Famille, amis, collègues (etc.)"
2020/11/05 12:13:34 PM EST,Grands-parents,G1x2m3,Non,"Famille, amis, collègues (etc.)"
2020/11/05 12:16:48 PM EST,Oncle,G/1v0g5,Non,"Famille, amis, collègues (etc.)"
2020/11/05 1:52:20 PM EST,Parents avec jeunes enfants,G3a0a2,Non,"Famille, amis, collègues (etc.)"
2020/11/05 2:10:11 PM EST,Parents avec jeunes enfants,G3a0a3,Non,Radio
2020/11/05 2:15:17 PM EST,Parents avec jeunes enfants,G1c4b1,Non,Radio
2020/11/05 2:26:47 PM EST,Parents avec jeunes enfants,G1y1z8,Oui,Vu en passant
2020/11/06 10:41:26 AM EST,Parents avec jeunes enfants,G1y1z8,Oui,Vu en passant
2020/11/06 10:42:06 AM EST,Grands-parents,G1x2m3,Non,"Famille, amis, collègues (etc.)"
2020/11/06 10:42:12 AM EST,Parents avec jeunes enfants,G1j1a6,Oui,"Famille, amis, collègues (etc.)"
2020/11/06 10:42:48 AM EST,Parents avec jeunes enfants,G6V 9N3,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/06 10:45:33 AM EST,Parents avec jeunes enfants,G3B 2A6,Non,"Famille, amis, collègues (etc.)"
2020/11/06 10:48:29 AM EST,Grands-parents,G1t1l6,Oui,"Famille, amis, collègues (etc.)"
2020/11/06 11:08:08 AM EST,Parents avec jeunes enfants,G0a2r0,Non,"Famille, amis, collègues (etc.)"
2020/11/06 11:17:06 AM EST,Parents avec jeunes enfants,G6z2m4,Non,"Famille, amis, collègues (etc.)"
2020/11/06 11:29:12 AM EST,Parents avec jeunes enfants,G1w0b4,Non,Étude sur nous
2020/11/06 12:09:41 PM EST,Parents avec jeunes enfants,G1w0b4,Non,Étude sur nous
2020/11/06 12:10:16 PM EST,Parents avec jeunes enfants,G1g1p5,Non,TV
2020/11/06 12:14:03 PM EST,Colectionneur,G6C 2J7,Non,Internet
2020/11/06 12:30:30 PM EST,Parents avec jeunes enfants,G1w2z5,Non,"Famille, amis, collègues (etc.)"
2020/11/06 12:52:06 PM EST,Grands-parents,G3a1w8,Non,Journaux 
2020/11/06 1:51:30 PM EST,Amie,G0s1z0,Non,"Famille, amis, collègues (etc.)"
2020/11/06 2:10:39 PM EST,Parents avec jeunes enfants,G1r2s6,Non,"Famille, amis, collègues (etc.)"
2020/11/06 2:14:52 PM EST,Parents avec jeunes enfants,G3n2z9,Non,Google 
2020/11/06 2:18:10 PM EST,Parents avec jeunes enfants,G1v2t5,Oui,"Famille, amis, collègues (etc.)"
2020/11/06 2:22:59 PM EST,Parents avec jeunes enfants,G2c1r7,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/06 2:25:30 PM EST,Parents avec jeunes enfants,G6z1m5,Non,"Famille, amis, collègues (etc.)"
2020/11/06 2:28:11 PM EST,Parents avec jeunes enfants,G7a2e5,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/06 3:07:10 PM EST,Parents avec jeunes enfants,G2 a4e3,Oui,"Famille, amis, collègues (etc.)"
2020/11/06 3:34:54 PM EST,Grands-parents,G3a0n2,Non,TV
2020/11/06 3:46:16 PM EST,Parents avec jeunes enfants,G0 a4e0,Non,"Famille, amis, collègues (etc.)"
2020/11/06 3:59:11 PM EST,Parents avec jeunes enfants,G1v1h9,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:02 AM EST,Parents avec jeunes enfants,G1v1h9,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:09 AM EST,Parents avec jeunes enfants,G0 a4e0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:10 AM EST,Grands-parents,G3a0n2,Non,TV
2020/11/07 9:42:10 AM EST,Parents avec jeunes enfants,G2 a4e3,Oui,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:11 AM EST,Parents avec jeunes enfants,G7a2e5,Oui,"Événements (Conteneur de l'amour, parade des jouets, etc)"
2020/11/07 9:42:11 AM EST,Parents avec jeunes enfants,G6z1m5,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:12 AM EST,Parents avec jeunes enfants,G2c1r7,Non,"Réseaux sociaux (Facebook, Instagram...)"
2020/11/07 9:42:13 AM EST,Parents avec jeunes enfants,G1v2t5,Oui,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:15 AM EST,Parents avec jeunes enfants,G3n2z9,Non,Google 
2020/11/07 9:42:15 AM EST,Parents avec jeunes enfants,G1r2s6,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:16 AM EST,Amie,G0s1z0,Non,"Famille, amis, collègues (etc.)"
2020/11/07 9:42:17 AM EST,Grands-parents,G3a1w8,Non,Journaux 
