timestamp,categorie,code_postal,premiere_visite,comment_avez_vous_entendu_parler_de_nous
2020/11/10 11:23:14 AM EST,Parents avec jeunes enfants,G3j1a6,Non,Radio
2020/11/10 11:26:08 AM EST,Parents avec jeunes enfants,G2b2y7,Non,En passant 
2020/11/10 12:05:31 PM EST,Parents avec jeunes enfants,G2e4p8,Non,En passant 
2020/11/10 12:20:09 PM EST,Parents,G1w4n1,Non,Elle a fait du bénévolat
2020/11/10 12:33:52 PM EST,Parents avec jeunes enfants,G1l2m8,Non,En passant 
2020/11/10 12:40:13 PM EST,Grands-parents,G3k1w9,Non,A fleur de lys 
2020/11/10 12:45:37 PM EST,Parents avec jeunes enfants,G1h4e9,Non,"Famille, amis, collègues (etc.)"
2020/11/10 1:01:23 PM EST,Parents avec jeunes enfants,G0S 2P0,Non,"Famille, amis, collègues (etc.)"
2020/11/10 1:01:39 PM EST,Parents avec jeunes enfants,G6z7g9,Non,Radio
2020/11/10 2:16:03 PM EST,Parents avec jeunes enfants,G2e6l9,Non,Google 
